#dataset: gtsrb
#way backdoor looks like: backdoor_green_0_5_percent
#merge strategy: sequential
#number of benign sources: 4
#number of malicious sources: 1
#batch size: 512
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 100
#order of time backdoors being inserted: backdoors first
#attack model: basic
#starttime: 093808
1;2;3;4;5;6;7;8;9;10
backdoor;60;0.0001;0.5421713590621948;in_between;0.004044694477664226;99.9920823436263;7.722133290342933;0.56215360253365;134646
normal;60;0.0001;in_between;8.308276715131383;0.4829770387965162;0.22668416798114777;0.25725228709072134;94.00633412509897;134938
backdoor;61;0.0001;0.5367595553398132;in_between;0.003954819847644555;100.0;7.725446141379652;0.56215360253365;135108
normal;61;0.0001;in_between;8.329721540509947;0.4750593824228028;0.22586116194725037;0.2556885499569129;94.05384006334126;135400
backdoor;62;0.0001;0.5372262597084045;in_between;0.004084378815980913;99.9920823436263;7.65114235776054;0.5463182897862233;135529
normal;62;0.0001;in_between;8.290339666685224;0.4829770387965162;0.22360095381736755;0.25257399673039066;94.15676959619952;135821
backdoor;63;0.0001;0.5353776812553406;in_between;0.004352895456557225;99.9920823436263;7.68498202676539;0.5938242280285035;135953
normal;63;0.0001;in_between;8.186348402396328;0.4908946951702296;0.21945953369140625;0.25202486743458846;94.17260490894695;140302
backdoor;64;0.0001;0.5291476249694824;in_between;0.004126284533989212;99.98416468725257;7.672454442547506;0.6096595407759303;140435
normal;64;0.0001;in_between;8.299208949580612;0.498812351543943;0.22356092929840088;0.24877637846547276;94.27553444180522;140731
backdoor;65;0.0001;0.5337857007980347;in_between;0.004061557622722285;99.9920823436263;7.627049660097486;0.56215360253365;140856
normal;65;0.0001;in_between;8.158839340391182;0.4908946951702296;0.215323343873024;0.2482689675507051;94.3151227236738;141151
backdoor;66;0.0001;0.5303072929382324;in_between;0.004328638093394131;99.98416468725257;7.574797090725208;0.6334125098970704;141321
normal;66;0.0001;in_between;8.114432886264103;0.498812351543943;0.21152357757091522;0.24509252576911061;94.43388756927949;141611
